house_id,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,garage_spaces,neighborhood_score,distance_to_cbd_mi,listing_agent_id,photo_count,days_since_repaint,lucky_number,price
H00000,1037.0,6.0,5.0,3649.487633066582,1992.0,1.0,5.4,1.41,1034,28,2763.0,14,286500.0
H00001,4392.0,3.0,3.0,15677.139490789572,2009.0,1.0,5.4,6.22,1018,28,1317.0,35,590000.0
H00002,3807.0,6.0,5.0,6522.5453220940335,1993.0,2.0,5.3,1.7,1014,34,1117.0,65,571700.0
H00003,2750.0,5.0,5.0,10547.497907181218,1989.0,1.0,5.2,21.65,1043,4,1635.0,22,375200.0
H00004,2721.0,4.0,4.0,10241.983734900232,1979.0,3.0,4.2,0.52,1029,39,836.0,7,476700.0
H00005,4807.0,6.0,5.0,18236.964193286916,1960.0,0.0,3.8,0.5,1045,4,2926.0,32,646600.0
H00006,1021.0,4.0,4.0,1512.5789305156327,1963.0,1.0,6.1,3.95,1017,39,2955.0,68,312100.0
H00007,4017.0,5.0,5.0,,2002.0,1.0,5.4,0.84,1002,12,1520.0,66,645600.0
H00008,1587.0,2.0,2.0,4371.127267314977,1945.0,1.0,8.5,2.93,1045,34,2892.0,13,353400.0
H00009,1061.0,6.0,5.0,1622.8033597526503,1947.0,1.0,,12.74,1012,6,93.0,68,282000.0
H00010,3179.0,4.0,4.0,6501.049042579053,1973.0,2.0,7.0,3.27,1042,20,564.0,20,508400.0
H00011,5380.0,5.0,4.0,15471.040044479061,2005.0,1.0,5.2,0.5,1035,23,1033.0,74,757600.0
H00012,4205.0,3.0,4.0,16916.899925222297,1995.0,2.0,6.3,26.94,1012,38,,57,534600.0
H00013,4329.0,6.0,5.0,9094.518578813106,1989.0,2.0,7.1,1.13,1038,7,845.0,13,723100.0
H00014,4115.0,1.0,1.0,17912.79934462324,1984.0,2.0,7.8,5.96,1004,4,1869.0,35,601300.0
H00015,4451.0,1.0,1.0,14572.723045340133,1949.0,2.0,6.3,5.99,1020,26,2896.0,82,575100.0
H00016,3114.0,4.0,4.0,12735.021885126615,1967.0,1.0,8.4,3.52,1018,4,1665.0,43,540800.0
H00017,1227.0,5.0,4.0,3675.7395279064294,1946.0,1.0,6.5,0.5,1033,31,1639.0,69,350100.0
H00018,4714.0,5.0,4.0,14598.965998833371,2003.0,1.0,7.9,4.64,1027,4,218.0,75,671900.0
H00019,2806.0,3.0,3.0,,2003.0,3.0,5.6,2.38,1030,38,,4,528200.0
H00020,3051.0,4.0,3.0,14419.905636952932,1961.0,2.0,3.2,8.8,1024,22,2946.0,93,417400.0
H00021,2416.0,4.0,5.0,7414.432947435644,1964.0,1.0,7.0,0.5,1037,38,,34,417600.0
